cluster,data_hora,vento
cluster_NE_1,1998-09-01,9.34459926659461
cluster_NE_1,1998-10-01,9.17543011327527
cluster_NE_1,1998-11-01,7.75847192953908
cluster_NE_1,1998-12-01,7.92885612758135
cluster_NE_1,1999-01-01,7.02348180877094
cluster_NE_1,1999-02-01,6.87415209242616
cluster_NE_1,1999-03-01,5.5181753892098
cluster_NE_1,1999-04-01,6.68848960512162
cluster_NE_1,1999-05-01,6.10376258899812
cluster_NE_1,1999-06-01,7.60244101796013
cluster_NE_1,1999-07-01,8.42895452901124
cluster_NE_1,1999-08-01,9.18242415634986
cluster_NE_1,1999-09-01,9.26466184098142
cluster_NE_1,1999-10-01,8.42544648393696
cluster_NE_1,1999-11-01,7.84820404421164
cluster_NE_1,1999-12-01,7.36494932401224
cluster_NE_1,2000-01-01,5.99651299389286
cluster_NE_1,2000-02-01,4.82643009020135
cluster_NE_1,2000-03-01,6.13031865199993
cluster_NE_1,2000-04-01,5.39467754911187
cluster_NE_1,2000-05-01,7.00515831604894
cluster_NE_1,2000-06-01,6.98921899409263
cluster_NE_1,2000-07-01,7.15201993018023
cluster_NE_1,2000-08-01,8.17634941500656
cluster_NE_1,2000-09-01,8.51541121604861
cluster_NE_1,2000-10-01,8.98631273105505
cluster_NE_1,2000-11-01,7.94255425405969
cluster_NE_1,2000-12-01,6.95210655631639
cluster_NE_1,2001-01-01,7.45811621741025
cluster_NE_1,2001-02-01,6.29222057143645
cluster_NE_1,2001-03-01,5.69154569841665
cluster_NE_1,2001-04-01,5.92370413038629
cluster_NE_1,2001-05-01,6.83733402681201
cluster_NE_1,2001-06-01,7.14949665535565
cluster_NE_1,2001-07-01,8.07208466119048
cluster_NE_1,2001-08-01,9.23826654358559
cluster_NE_1,2001-09-01,8.85956927174069
cluster_NE_1,2001-10-01,8.33082079039457
cluster_NE_1,2001-11-01,8.14037230417149
cluster_NE_1,2001-12-01,8.10989773312624
cluster_NE_1,2002-01-01,5.56862016877951
cluster_NE_1,2002-02-01,6.8019987010512
cluster_NE_1,2002-03-01,5.9216629588459
cluster_NE_1,2002-04-01,5.91505273300381
cluster_NE_1,2002-05-01,6.74246473645691
cluster_NE_1,2002-06-01,7.06761469968182
cluster_NE_1,2002-07-01,7.87985129778277
cluster_NE_1,2002-08-01,8.99720293713576
cluster_NE_1,2002-09-01,8.85869703660928
cluster_NE_1,2002-10-01,9.25925762563417
cluster_NE_1,2002-11-01,8.33850457975954
cluster_NE_1,2002-12-01,7.28301044990622
cluster_NE_1,2003-01-01,5.72612621920959
cluster_NE_1,2003-02-01,6.23102847520695
cluster_NE_1,2003-03-01,5.29780459446058
cluster_NE_1,2003-04-01,5.63396027716072
cluster_NE_1,2003-05-01,6.67563758472395
cluster_NE_1,2003-06-01,7.28213705443668
cluster_NE_1,2003-07-01,8.46079526084913
cluster_NE_1,2003-08-01,8.6037416077564
cluster_NE_1,2003-09-01,9.12932400030039
cluster_NE_1,2003-10-01,9.24114691719016
cluster_NE_1,2003-11-01,8.33676284928142
cluster_NE_1,2003-12-01,7.73964092808709
cluster_NE_1,2004-01-01,5.23625969592564
cluster_NE_1,2004-02-01,5.58642441602296
cluster_NE_1,2004-03-01,6.44859406421044
cluster_NE_1,2004-04-01,6.62831944323772
cluster_NE_1,2004-05-01,6.80092094882234
cluster_NE_1,2004-06-01,7.05860319688947
cluster_NE_1,2004-07-01,7.54270349003423
cluster_NE_1,2004-08-01,8.54070128668889
cluster_NE_1,2004-09-01,9.5014397209748
cluster_NE_1,2004-10-01,9.12460842389072
cluster_NE_1,2004-11-01,8.66998990471979
cluster_NE_1,2004-12-01,7.92198255394173
cluster_NE_1,2005-01-01,6.97377895458745
cluster_NE_1,2005-02-01,6.99306773764383
cluster_NE_1,2005-03-01,5.82561744669242
cluster_NE_1,2005-04-01,6.90604062606285
cluster_NE_1,2005-05-01,6.84637605006401
cluster_NE_1,2005-06-01,7.31950767764409
cluster_NE_1,2005-07-01,8.28655465069848
cluster_NE_1,2005-08-01,8.95472224362685
cluster_NE_1,2005-09-01,9.01686396495833
cluster_NE_1,2005-10-01,9.24237245870379
cluster_NE_1,2005-11-01,8.79278942413276
cluster_NE_1,2005-12-01,7.95231345054744
cluster_NE_1,2006-01-01,8.32923708720996
cluster_NE_1,2006-02-01,5.65269038521382
cluster_NE_1,2006-03-01,5.42344487518432
cluster_NE_1,2006-04-01,4.52703227408155
cluster_NE_1,2006-05-01,6.09509143121394
cluster_NE_1,2006-06-01,7.46260987002966
cluster_NE_1,2006-07-01,8.00141066972394
cluster_NE_1,2006-08-01,8.7387265466257
cluster_NE_1,2006-09-01,8.95646598774631
cluster_NE_1,2006-10-01,8.63949206981648
cluster_NE_1,2006-11-01,8.0517515231078
cluster_NE_1,2006-12-01,7.34065839874958
cluster_NE_1,2007-01-01,7.48221100822422
cluster_NE_1,2007-02-01,5.31855790483366
cluster_NE_1,2007-03-01,6.62498396525374
cluster_NE_1,2007-04-01,6.06075035217181
cluster_NE_1,2007-05-01,6.97101756997588
cluster_NE_1,2007-06-01,7.82170729482679
cluster_NE_1,2007-07-01,8.40695804813709
cluster_NE_1,2007-08-01,9.31937443949062
cluster_NE_1,2007-09-01,9.6919979592145
cluster_NE_1,2007-10-01,9.38762100565719
cluster_NE_1,2007-11-01,8.60928777836734
cluster_NE_1,2007-12-01,7.95508653818731
cluster_NE_1,2008-01-01,6.89718626308358
cluster_NE_1,2008-02-01,6.44927282771985
cluster_NE_1,2008-03-01,3.66225178557278
cluster_NE_1,2008-04-01,4.63853822152588
cluster_NE_1,2008-05-01,5.44401670531465
cluster_NE_1,2008-06-01,7.01709126168032
cluster_NE_1,2008-07-01,8.03165808739051
cluster_NE_1,2008-08-01,8.26814985148655
cluster_NE_1,2008-09-01,9.04516705545104
cluster_NE_1,2008-10-01,9.31537245431199
cluster_NE_1,2008-11-01,8.4533908844246
cluster_NE_1,2008-12-01,7.51258303911967
cluster_NE_1,2009-01-01,6.54652502372919
cluster_NE_1,2009-02-01,5.77350525751117
cluster_NE_1,2009-03-01,4.83874645624017
cluster_NE_1,2009-04-01,3.59591833510546
cluster_NE_1,2009-05-01,4.09028173841157
cluster_NE_1,2009-06-01,6.32113864368013
cluster_NE_1,2009-07-01,7.19772419381074
cluster_NE_1,2009-08-01,8.09781835699166
cluster_NE_1,2009-09-01,8.70857506065451
cluster_NE_1,2009-10-01,7.94579550594421
cluster_NE_1,2009-11-01,8.57712927571426
cluster_NE_1,2009-12-01,7.43691597984471
cluster_NE_1,2010-01-01,6.66080927762911
cluster_NE_1,2010-02-01,7.42886648740091
cluster_NE_1,2010-03-01,6.07317598366131
cluster_NE_1,2010-04-01,6.21690619535867
cluster_NE_1,2010-05-01,6.59804488406612
cluster_NE_1,2010-06-01,7.23144991786234
cluster_NE_1,2010-07-01,8.25217359784927
cluster_NE_1,2010-08-01,9.2024811923623
cluster_NE_1,2010-09-01,9.60310107206778
cluster_NE_1,2010-10-01,7.87285782279397
cluster_NE_1,2010-11-01,8.43333207802082
cluster_NE_1,2010-12-01,7.12247163282023
cluster_NE_1,2011-01-01,5.74319396341089
cluster_NE_1,2011-02-01,5.7598018100708
cluster_NE_1,2011-03-01,4.80734778789953
cluster_NE_1,2011-04-01,4.92961012378416
cluster_NE_1,2011-05-01,6.14964178588981
cluster_NE_1,2011-06-01,6.88142654371424
cluster_NE_1,2011-07-01,7.56953235476014
cluster_NE_1,2011-08-01,8.45396615802801
cluster_NE_1,2011-09-01,9.52480847732124
cluster_NE_1,2011-10-01,8.29581376860836
cluster_NE_1,2011-11-01,8.4068804820907
cluster_NE_1,2011-12-01,8.24601211640051
cluster_NE_1,2012-01-01,7.62703885875014
cluster_NE_1,2012-02-01,7.2470100970073
cluster_NE_1,2012-03-01,7.10219368670557
cluster_NE_1,2012-04-01,7.23349433557644
cluster_NE_1,2012-05-01,7.86109800543908
cluster_NE_1,2012-06-01,7.70076713664415
cluster_NE_1,2012-07-01,8.67175629567401
cluster_NE_1,2012-08-01,9.49098460327965
cluster_NE_1,2012-09-01,9.4347096805551
cluster_NE_1,2012-10-01,9.5893190743323
cluster_NE_1,2012-11-01,8.0088264508212
cluster_NE_1,2012-12-01,8.18235509101953
cluster_NE_1,2013-01-01,7.46819449011066
cluster_NE_1,2013-02-01,8.08279225573318
cluster_NE_1,2013-03-01,7.198776462723
cluster_NE_1,2013-04-01,5.92919204659676
cluster_NE_1,2013-05-01,6.94680656671053
cluster_NE_1,2013-06-01,7.08631954245544
cluster_NE_1,2013-07-01,7.62792698318655
cluster_NE_1,2013-08-01,8.86890580562373
cluster_NE_1,2013-09-01,9.22093819304445
cluster_NE_1,2013-10-01,8.9940137871475
cluster_NE_1,2013-11-01,8.71942507736225
cluster_NE_1,2013-12-01,7.75450276396924
cluster_NE_1,2014-01-01,7.60073724305315
cluster_NE_1,2014-02-01,6.95100515018809
cluster_NE_1,2014-03-01,6.29817437726162
cluster_NE_1,2014-04-01,5.64730801097444
cluster_NE_1,2014-05-01,5.99238552297886
cluster_NE_1,2014-06-01,7.76628946098118
cluster_NE_1,2014-07-01,8.36007057595258
cluster_NE_1,2014-08-01,9.09815408367501
cluster_NE_1,2014-09-01,8.91550916430958
cluster_NE_1,2014-10-01,9.37097640588233
cluster_NE_1,2014-11-01,8.20973114072555
cluster_NE_1,2014-12-01,8.17842301590457
cluster_NE_1,2015-01-01,7.92262939950408
cluster_NE_1,2015-02-01,6.87793362137969
cluster_NE_1,2015-03-01,6.01423504873877
cluster_NE_1,2015-04-01,5.61147147816545
cluster_NE_1,2015-05-01,7.32031327410016
cluster_NE_1,2015-06-01,7.51355616973909
cluster_NE_1,2015-07-01,8.27475826074926
cluster_NE_1,2015-08-01,9.42916201950107
cluster_NE_1,2015-09-01,9.10492435609037
cluster_NE_1,2015-10-01,9.16224571078991
cluster_NE_1,2015-11-01,8.14676194063229
cluster_NE_1,2015-12-01,7.88026475125842
cluster_NE_1,2016-01-01,5.61239308923105
cluster_NE_1,2016-02-01,6.85040321761211
cluster_NE_1,2016-03-01,6.65455560880423
cluster_NE_1,2016-04-01,7.14969554103854
cluster_NE_1,2016-05-01,6.87860028852276
