data_hora,capacidade_instalada,cluster
2018-04-09,3098.795,cluster_NE_3
2018-05-09,3303.795,cluster_NE_3
2018-06-09,3349.995,cluster_NE_3
2018-07-09,3591.595,cluster_NE_3
2018-08-09,3591.595,cluster_NE_3
2018-09-09,3679.595,cluster_NE_3
2018-10-09,3856.695,cluster_NE_3
2018-11-09,3945.795,cluster_NE_3
2018-12-09,4111.995,cluster_NE_3
2019-01-09,4407.445,cluster_NE_3
2019-02-09,4479.945,cluster_NE_3
2019-03-09,4557.445,cluster_NE_3
2019-04-09,4719.945,cluster_NE_3
2019-05-09,4794.945,cluster_NE_3
2019-06-09,4794.945,cluster_NE_3
2019-07-09,4794.945,cluster_NE_3
2019-08-09,4794.945,cluster_NE_3
2019-09-09,4824.345,cluster_NE_3
2019-10-09,4860.345,cluster_NE_3
2019-11-09,4860.345,cluster_NE_3
2019-12-09,4894.345,cluster_NE_3
2020-01-09,4894.345,cluster_NE_3
2020-02-09,4914.345,cluster_NE_3
2020-03-09,4934.345,cluster_NE_3
2020-04-09,4934.345,cluster_NE_3
2020-05-09,4934.345,cluster_NE_3
2020-06-09,5035.145,cluster_NE_3
2020-07-09,5035.145,cluster_NE_3
2020-08-09,5085.545,cluster_NE_3
2020-09-09,5169.545,cluster_NE_3
2020-10-09,5232.545,cluster_NE_3
2020-11-09,5266.145,cluster_NE_3
2020-12-09,5408.315,cluster_NE_3
2021-01-09,5481.5,cluster_NE_3
2021-02-09,5481.5,cluster_NE_3
2021-03-09,5540.3,cluster_NE_3
2021-04-09,5625.95,cluster_NE_3
2021-05-09,5680.7,cluster_NE_3
2021-06-09,5765.3,cluster_NE_3
2021-07-09,5867.3,cluster_NE_3
2021-08-09,5892.8,cluster_NE_3
2021-09-09,6006.2,cluster_NE_3
2021-10-09,6006.2,cluster_NE_3
2021-11-09,6006.2,cluster_NE_3
2021-12-09,6197.1,cluster_NE_3
2022-01-09,6472,cluster_NE_3
2022-02-09,6760,cluster_NE_3
2022-03-09,6831.1,cluster_NE_3
2022-04-09,6850,cluster_NE_3
2022-05-09,6850,cluster_NE_3
2022-06-09,6912.1,cluster_NE_3
2022-07-09,6961.7,cluster_NE_3
2022-08-09,7006.5,cluster_NE_3
2022-09-09,7199.385,cluster_NE_3
2022-10-09,7250.685,cluster_NE_3
2022-11-09,7294.085,cluster_NE_3
2022-12-09,7387.885,cluster_NE_3
2023-01-09,7543.085,cluster_NE_3
2023-02-09,7748.285,cluster_NE_3
2023-03-09,7952.585,cluster_NE_3
2023-04-09,8128.285,cluster_NE_3
2023-05-09,8218.785,cluster_NE_3
2023-06-09,8318.685,cluster_NE_3
2023-07-09,8616.285,cluster_NE_3
2023-08-09,8873.485,cluster_NE_3
2023-09-09,8913.385,cluster_NE_3
2023-10-09,8913.385,cluster_NE_3
2023-11-09,8993.185,cluster_NE_3
2023-12-09,9067.285,cluster_NE_3
2024-01-09,9247.285,cluster_NE_3
2024-02-09,9247.285,cluster_NE_3
2024-03-09,9247.285,cluster_NE_3
2024-04-09,9247.285,cluster_NE_3
2024-05-09,9247.285,cluster_NE_3
2024-06-09,9252.585,cluster_NE_3
2024-07-09,9252.585,cluster_NE_3
2024-08-09,9252.585,cluster_NE_3
2024-09-09,9252.585,cluster_NE_3
2024-10-09,9252.585,cluster_NE_3
2024-11-09,9252.585,cluster_NE_3
2024-12-09,9252.585,cluster_NE_3
2025-01-09,9692.385,cluster_NE_3
2025-02-09,9851.485,cluster_NE_3
2025-03-09,9851.485,cluster_NE_3
2025-04-09,9851.485,cluster_NE_3
2025-05-09,9851.485,cluster_NE_3
2025-06-09,9923.485,cluster_NE_3
2025-07-09,9923.485,cluster_NE_3
2025-08-09,9923.485,cluster_NE_3
2025-09-09,9923.485,cluster_NE_3
2025-10-09,9923.485,cluster_NE_3
2025-11-09,9923.485,cluster_NE_3
2025-12-09,9923.485,cluster_NE_3
2026-01-09,9994.885,cluster_NE_3
2026-02-09,9994.885,cluster_NE_3
1999-02-09,2.5,cluster_S_1
1999-03-09,2.5,cluster_S_1
1999-04-09,2.5,cluster_S_1
1999-05-09,2.5,cluster_S_1
1999-06-09,2.5,cluster_S_1
1999-07-09,2.5,cluster_S_1
1999-08-09,2.5,cluster_S_1
1999-09-09,2.5,cluster_S_1
1999-10-09,2.5,cluster_S_1
1999-11-09,2.5,cluster_S_1
1999-12-09,2.5,cluster_S_1
2000-01-09,2.5,cluster_S_1
2000-02-09,2.5,cluster_S_1
2000-03-09,2.5,cluster_S_1
2000-04-09,2.5,cluster_S_1
2000-05-09,2.5,cluster_S_1
2000-06-09,2.5,cluster_S_1
2000-07-09,2.5,cluster_S_1
2000-08-09,2.5,cluster_S_1
2000-09-09,2.5,cluster_S_1
2000-10-09,2.5,cluster_S_1
2000-11-09,2.5,cluster_S_1
2000-12-09,2.5,cluster_S_1
2001-01-09,2.5,cluster_S_1
2001-02-09,2.5,cluster_S_1
2001-03-09,2.5,cluster_S_1
2001-04-09,2.5,cluster_S_1
